CustomerID,Recency,Frequency,Monetary,Monetary_log,Frequency_log,Cluster_original,Cluster_original_5,Cluster_Label
12346.0,326,12,77556.46,11.258774359980725,2.5649493574615367,3,3,Loyal Customers
12347.0,2,8,4921.53,8.501577904958904,2.1972245773362196,0,0,Dormant Customers
12348.0,75,5,2019.3999999999999,7.6110507905938976,1.791759469228055,0,0,Dormant Customers
12349.0,19,4,4428.6900000000005,8.396084883164011,1.6094379124341003,0,0,Dormant Customers
12350.0,310,1,334.40000000000003,5.815323849389109,0.6931471805599453,0,0,Dormant Customers
12351.0,375,1,300.93,5.710195202428391,0.6931471805599453,0,0,Dormant Customers
12352.0,36,10,2849.84,7.9553689666784315,2.3978952727983707,0,0,Dormant Customers
12353.0,204,2,406.76,6.010678766031786,1.0986122886681098,0,0,Dormant Customers
12354.0,232,1,1079.4,6.985086621918461,0.6931471805599453,0,0,Dormant Customers
12355.0,214,2,947.61,6.854997755239065,1.0986122886681098,0,0,Dormant Customers
12356.0,23,6,6371.7300000000005,8.759783228184277,1.9459101490553132,0,0,Dormant Customers
12357.0,33,3,18287.66,9.814036474622236,1.3862943611198906,0,4,Regular Customers
12358.0,2,5,3887.07,8.265668169533484,1.791759469228055,0,0,Dormant Customers
12359.0,58,10,8873.39,9.090924879587071,2.3978952727983707,0,4,Regular Customers
12360.0,52,8,4252.89,8.355589137409874,2.1972245773362196,0,0,Dormant Customers
12361.0,287,4,511.25,6.238812787119009,1.6094379124341003,0,0,Dormant Customers
12362.0,3,11,5356.2300000000005,8.586202329437555,2.4849066497880004,0,0,Dormant Customers
12363.0,110,2,552.0,6.315358001522335,1.0986122886681098,0,0,Dormant Customers
12364.0,8,4,1313.1,7.180907299649593,1.6094379124341003,0,0,Dormant Customers
12365.0,291,2,641.38,6.465180028897591,1.0986122886681098,0,0,Dormant Customers
12366.0,634,1,500.24,6.217085028297085,0.6931471805599453,0,0,Dormant Customers
12367.0,4,1,168.9,5.135210028677887,0.6931471805599453,0,0,Dormant Customers
12368.0,628,1,917.7,6.822959627277421,0.6931471805599453,0,0,Dormant Customers
12369.0,413,3,1791.15,7.491171295388921,1.3862943611198906,0,0,Dormant Customers
12370.0,51,7,4316.56,8.370445706855367,2.0794415416798357,0,0,Dormant Customers
12371.0,45,5,4067.38,8.31100016480189,1.791759469228055,0,0,Dormant Customers
12372.0,72,3,1298.04,7.169380809114136,1.3862943611198906,0,0,Dormant Customers
12373.0,311,3,1127.65,7.028777507229587,1.3862943611198906,0,0,Dormant Customers
12374.0,25,4,2989.2200000000003,8.003102242273277,1.6094379124341003,0,0,Dormant Customers
12375.0,11,2,457.5,6.127960291696519,1.0986122886681098,0,0,Dormant Customers
12376.0,390,2,503.15,6.222873842839224,1.0986122886681098,0,0,Dormant Customers
12377.0,315,4,3426.32,8.139533893646055,1.6094379124341003,0,0,Dormant Customers
12378.0,130,2,5416.32,8.597356507200939,1.0986122886681098,0,0,Dormant Customers
12379.0,82,4,1620.22,7.390934231218893,1.6094379124341003,0,0,Dormant Customers
12380.0,22,11,9676.300000000001,9.177538215743802,2.4849066497880004,0,4,Regular Customers
12381.0,5,5,1845.31,7.520944331624911,1.791759469228055,0,0,Dormant Customers
12383.0,185,5,1850.56,7.523783805985769,1.791759469228055,0,0,Dormant Customers
12384.0,29,2,585.27,6.373780434317173,1.0986122886681098,0,0,Dormant Customers
12385.0,379,1,1938.4,7.570133925870446,0.6931471805599453,0,0,Dormant Customers
12386.0,338,2,401.9,5.998688392197302,1.0986122886681098,0,0,Dormant Customers
12387.0,415,1,143.94,4.976319863681136,0.6931471805599453,0,0,Dormant Customers
12388.0,16,8,3901.11,8.269272711457157,2.1972245773362196,0,0,Dormant Customers
12389.0,403,3,1433.33,7.268453120207762,1.3862943611198906,0,0,Dormant Customers
12390.0,80,1,549.84,6.311444385858925,0.6931471805599453,0,0,Dormant Customers
12391.0,22,6,2724.84,7.910531916476688,1.9459101490553132,0,0,Dormant Customers
12392.0,591,1,234.75000000000003,5.462771921513567,0.6931471805599453,0,0,Dormant Customers
12393.0,72,6,2399.45,7.783411498760109,1.9459101490553132,0,0,Dormant Customers
12394.0,64,2,1272.48,7.149508589545504,1.0986122886681098,0,0,Dormant Customers
12395.0,19,15,4721.17,8.46002371869161,2.772588722239781,0,0,Dormant Customers
12396.0,674,1,931.4300000000001,6.837794081676172,0.6931471805599453,0,0,Dormant Customers
12397.0,36,2,2409.9,7.7877554007552545,1.0986122886681098,0,0,Dormant Customers
12398.0,46,1,1635.6599999999999,7.4004128587924045,0.6931471805599453,0,0,Dormant Customers
12399.0,119,7,1962.3,7.582382009904704,2.0794415416798357,0,0,Dormant Customers
12400.0,414,1,205.25,5.32908902521479,0.6931471805599453,0,0,Dormant Customers
12401.0,303,1,84.3,4.446174454497633,0.6931471805599453,0,0,Dormant Customers
12402.0,323,6,1256.9,7.137198942844827,1.9459101490553132,0,0,Dormant Customers
12403.0,50,2,1019.36,6.927910785185701,1.0986122886681098,0,0,Dormant Customers
12404.0,682,1,63.24,4.162626069638506,0.6931471805599453,0,0,Dormant Customers
12405.0,149,1,1710.39,7.445061184797548,0.6931471805599453,0,0,Dormant Customers
12406.0,22,5,6390.36,8.762702357276806,1.791759469228055,0,0,Dormant Customers
12407.0,50,5,1708.12,7.4437338971514055,1.791759469228055,0,0,Dormant Customers
12408.0,33,8,4340.77,8.37603737805411,2.1972245773362196,0,0,Dormant Customers
12409.0,79,7,23419.29,10.061358019654037,2.0794415416798357,0,4,Regular Customers
12410.0,309,3,1013.71,6.9223581363660704,1.3862943611198906,0,0,Dormant Customers
12411.0,410,1,346.9,5.8519150821578965,0.6931471805599453,0,0,Dormant Customers
12412.0,75,6,2596.93,7.862470253064629,1.9459101490553132,0,0,Dormant Customers
12413.0,67,4,999.45,6.908205177762502,1.6094379124341003,0,0,Dormant Customers
12414.0,217,6,952.4100000000001,6.860045031492727,1.9459101490553132,0,0,Dormant Customers
12415.0,24,28,144458.37,11.88075357052652,3.367295829986474,2,2,High-Value Customers
12416.0,657,1,202.56,5.315960801720632,0.6931471805599453,0,0,Dormant Customers
12417.0,3,20,6797.41,8.824444040293804,3.044522437723423,0,0,Dormant Customers
12418.0,113,4,2021.2,7.6119413066572985,1.6094379124341003,0,0,Dormant Customers
12419.0,386,2,503.01,6.222596109144375,1.0986122886681098,0,0,Dormant Customers
12420.0,64,1,600.39,6.3992436425478765,0.6931471805599453,0,0,Dormant Customers
12421.0,16,6,1098.6,7.00270175629109,1.9459101490553132,0,0,Dormant Customers
12422.0,96,17,5231.8,8.562701786647002,2.8903717578961645,0,0,Dormant Customers
12423.0,1,10,2622.39,7.872222653526559,2.3978952727983707,0,0,Dormant Customers
12424.0,163,4,3340.0299999999997,8.114034421663943,1.6094379124341003,0,0,Dormant Customers
12425.0,78,2,1741.41,7.4630244913725114,1.0986122886681098,0,0,Dormant Customers
12426.0,195,2,1345.21,7.205048515865767,1.0986122886681098,0,0,Dormant Customers
12427.0,22,3,825.8000000000001,6.717562827807614,1.3862943611198906,0,0,Dormant Customers
12428.0,26,9,7956.46,8.981865132439246,2.302585092994046,0,4,Regular Customers
12429.0,9,8,6204.41,8.733176771201169,2.1972245773362196,0,0,Dormant Customers
12430.0,43,1,256.4,5.5506312951620265,0.6931471805599453,0,0,Dormant Customers
12431.0,36,27,10432.220000000001,9.252750225181329,3.332204510175204,0,4,Regular Customers
12432.0,43,5,5059.32,8.529185001388596,1.791759469228055,0,0,Dormant Customers
12433.0,1,10,16794.14,9.72884483782588,2.3978952727983707,0,4,Regular Customers
12434.0,85,3,1103.43,7.007084643758051,1.3862943611198906,0,0,Dormant Customers
12435.0,80,6,13925.93,9.541579654832375,1.9459101490553132,0,4,Regular Customers
12436.0,100,1,509.01,6.234430333369278,0.6931471805599453,0,0,Dormant Customers
12437.0,2,39,12683.4,9.44812817095412,3.6888794541139363,0,4,Regular Customers
12438.0,14,2,2906.85,7.9751692554798295,1.0986122886681098,0,0,Dormant Customers
12439.0,683,2,1142.88,7.042181271332972,1.0986122886681098,0,0,Dormant Customers
12440.0,462,2,859.2,6.757164920349636,1.0986122886681098,0,0,Dormant Customers
12441.0,367,1,173.55,5.162211233551045,0.6931471805599453,0,0,Dormant Customers
12442.0,3,1,172.06,5.153638355178593,0.6931471805599453,0,0,Dormant Customers
