customer_id,frequency,monetary,lifespan,first_purchase_date,last_purchase_date,last_updated,segment,clv_tier,churn_probability
12346.0,12,77556.46,400,2009-12-14 08:34:00,2011-01-18 10:01:00,2026-06-05 19:43:02.858787,Loyal Customers,Medium CLV,0.0046962657916717
12347.0,8,4921.53,402,2010-10-31 14:20:00,2011-12-07 15:52:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.0379682594449805
12348.0,5,2019.4,362,2010-09-27 14:59:00,2011-09-25 13:13:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.1175430769490388
12349.0,4,4428.6900000000005,570,2010-04-29 13:20:00,2011-11-21 09:51:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.1238471888532404
12350.0,1,334.40000000000003,0,2011-02-02 16:01:00,2011-02-02 16:01:00,2026-06-05 19:43:02.858787,Dormant Customers,Low CLV,0.4502998976141465
12351.0,1,300.93,0,2010-11-29 15:23:00,2010-11-29 15:23:00,2026-06-05 19:43:02.858787,Dormant Customers,Low CLV,0.4586366419873012
12352.0,10,2849.84,356,2010-11-12 10:20:00,2011-11-03 14:37:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.0246356527635636
12353.0,2,406.76,204,2010-10-27 12:44:00,2011-05-19 17:47:00,2026-06-05 19:43:02.858787,Dormant Customers,Low CLV,0.3606691458542048
12354.0,1,1079.4,0,2011-04-21 13:11:00,2011-04-21 13:11:00,2026-06-05 19:43:02.858787,Dormant Customers,Low CLV,0.3604016190029314
12355.0,2,947.61,353,2010-05-21 11:59:00,2011-05-09 13:49:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.3010029627366894
12356.0,6,6371.7300000000005,401,2010-10-11 09:42:00,2011-11-17 08:40:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.0633368693722077
12357.0,3,18287.66,355,2010-11-16 10:05:00,2011-11-06 16:07:00,2026-06-05 19:43:02.858787,Regular Customers,Medium CLV,0.1091429852030289
12358.0,5,3887.07,730,2009-12-08 07:59:00,2011-12-08 10:26:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.0975021253886389
12359.0,10,8873.39,676,2009-12-05 13:32:00,2011-10-13 12:47:00,2026-06-05 19:43:02.858787,Regular Customers,Medium CLV,0.0172619609440797
12360.0,8,4252.89,603,2010-02-22 09:32:00,2011-10-18 15:22:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.0397112045870694
12361.0,4,511.25,394,2010-01-26 14:37:00,2011-02-25 13:51:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.2198632904981513
12362.0,11,5356.2300000000005,735,2009-12-01 10:10:00,2011-12-06 15:40:00,2026-06-05 19:43:02.858787,Dormant Customers,Medium CLV,0.0149069100100821
12363.0,2,552.0,132,2011-04-11 13:29:00,2011-08-22 10:18:00,2026-06-05 19:43:02.858787,Dormant Customers,Low CLV,0.3385155876679233
