Customer ID,Frequency,Monetary,First Purchase Date,Last Purchase Date,Lifespan,Cluster
12346.0,12,77556.46,2009-12-14 08:34:00,2011-01-18 10:01:00,400,1
12347.0,8,4921.53,2010-10-31 14:20:00,2011-12-07 15:52:00,402,1
12348.0,5,2019.3999999999999,2010-09-27 14:59:00,2011-09-25 13:13:00,362,1
12349.0,4,4428.6900000000005,2010-04-29 13:20:00,2011-11-21 09:51:00,570,1
12350.0,1,334.40000000000003,2011-02-02 16:01:00,2011-02-02 16:01:00,0,0
12351.0,1,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,0,0
12352.0,10,2849.84,2010-11-12 10:20:00,2011-11-03 14:37:00,356,1
12353.0,2,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,204,0
12354.0,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,0,0
12355.0,2,947.61,2010-05-21 11:59:00,2011-05-09 13:49:00,353,1
12356.0,6,6371.7300000000005,2010-10-11 09:42:00,2011-11-17 08:40:00,401,1
12357.0,3,18287.66,2010-11-16 10:05:00,2011-11-06 16:07:00,355,1
12358.0,5,3887.07,2009-12-08 07:59:00,2011-12-08 10:26:00,730,1
12359.0,10,8873.39,2009-12-05 13:32:00,2011-10-13 12:47:00,676,1
12360.0,8,4252.89,2010-02-22 09:32:00,2011-10-18 15:22:00,603,1
12361.0,4,511.25,2010-01-26 14:37:00,2011-02-25 13:51:00,394,1
12362.0,11,5356.2300000000005,2009-12-01 10:10:00,2011-12-06 15:40:00,735,1
12363.0,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,0
12364.0,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,104,0
12365.0,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,0,0
12366.0,1,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,0,0
12367.0,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,0,0
12368.0,1,917.7,2010-03-21 15:56:00,2010-03-21 15:56:00,0,0
12369.0,3,1791.15,2010-03-08 08:09:00,2010-10-22 13:13:00,228,0
12370.0,7,4316.56,2010-02-09 09:41:00,2011-10-19 14:51:00,617,1
12371.0,5,4067.38,2010-03-04 18:23:00,2011-10-26 10:16:00,600,1
12372.0,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,224,0
12373.0,3,1127.65,2010-02-04 12:08:00,2011-02-01 13:10:00,362,1
12374.0,4,2989.2200000000003,2010-04-30 14:01:00,2011-11-14 15:37:00,563,1
12375.0,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,87,0
12376.0,2,503.15,2010-10-18 08:42:00,2010-11-15 12:15:00,28,0
12377.0,4,3426.32,2010-04-29 15:34:00,2011-01-28 15:45:00,274,0
12378.0,2,5416.32,2010-05-26 14:07:00,2011-08-02 10:34:00,432,1
12379.0,4,1620.22,2010-06-23 12:49:00,2011-09-19 10:09:00,452,1
12380.0,11,9676.300000000001,2010-02-15 12:05:00,2011-11-18 11:27:00,640,1
12381.0,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,115,0
12383.0,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,167,0
12384.0,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,92,0
12385.0,1,1938.4,2010-11-25 15:14:00,2010-11-25 15:14:00,0,0
12386.0,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,29,0
12387.0,1,143.94,2010-10-20 16:27:00,2010-10-20 16:27:00,0,0
12388.0,8,3901.11,2010-05-06 12:54:00,2011-11-24 12:30:00,566,1
12389.0,3,1433.33,2010-02-22 10:15:00,2010-11-02 11:52:00,253,0
12390.0,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,0,0
12391.0,6,2724.84,2010-02-15 10:12:00,2011-11-18 12:07:00,641,1
12392.0,1,234.75000000000003,2010-04-27 14:04:00,2010-04-27 14:04:00,0,0
12393.0,6,2399.45,2010-10-07 13:49:00,2011-09-28 15:41:00,356,1
12394.0,2,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,153,0
12395.0,15,4721.17,2010-04-16 10:16:00,2011-11-20 15:21:00,583,1
12396.0,1,931.4300000000001,2010-02-03 13:22:00,2010-02-03 13:22:00,0,0
12397.0,2,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,99,0
12398.0,1,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,0,0
12399.0,7,1962.3,2010-03-05 08:45:00,2011-08-12 13:15:00,525,1
12400.0,1,205.25,2010-10-21 13:45:00,2010-10-21 13:45:00,0,0
12401.0,1,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,0,0
12402.0,6,1256.9,2010-02-07 12:41:00,2011-01-20 13:49:00,347,1
12403.0,2,1019.36,2010-07-06 11:39:00,2011-10-21 10:51:00,471,1
12404.0,1,63.24,2010-01-26 16:25:00,2010-01-26 16:25:00,0,0
12405.0,1,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,0,0
12406.0,5,6390.36,2010-01-11 14:04:00,2011-11-17 19:22:00,675,1
12407.0,5,1708.12,2011-03-20 13:21:00,2011-10-21 10:11:00,214,0
12408.0,8,4340.77,2010-07-29 13:27:00,2011-11-07 12:27:00,465,1
12409.0,7,23419.29,2010-05-23 15:21:00,2011-09-22 10:38:00,486,1
12410.0,3,1013.71,2010-07-25 13:26:00,2011-02-04 10:39:00,193,0
12411.0,1,346.9,2010-10-26 09:25:00,2010-10-26 09:25:00,0,0
12412.0,6,2596.93,2010-06-18 13:22:00,2011-09-26 10:16:00,464,1
12413.0,4,999.45,2010-11-02 13:26:00,2011-10-04 09:00:00,335,1
12414.0,6,952.4100000000001,2010-09-02 12:22:00,2011-05-06 14:51:00,246,0
12415.0,28,144458.37,2010-06-30 08:30:00,2011-11-15 14:22:00,503,1
12416.0,1,202.56,2010-02-21 10:19:00,2010-02-21 10:19:00,0,0
12417.0,20,6797.41,2009-12-06 10:30:00,2011-12-06 14:52:00,730,1
12418.0,4,2021.2,2010-03-19 14:47:00,2011-08-19 11:08:00,517,1
12419.0,2,503.01,2010-10-22 10:40:00,2010-11-19 10:04:00,27,0
12420.0,1,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,0,0
12421.0,6,1098.6,2010-07-22 13:57:00,2011-11-24 09:07:00,489,1
12422.0,17,5231.8,2009-12-18 12:44:00,2011-09-05 09:48:00,625,1
12423.0,10,2622.39,2010-08-31 09:31:00,2011-12-09 10:10:00,465,1
12424.0,4,3340.0299999999997,2010-06-09 15:15:00,2011-06-30 12:06:00,385,1
12425.0,2,1741.41,2010-09-17 14:10:00,2011-09-22 17:31:00,370,1
12426.0,2,1345.21,2010-02-15 08:41:00,2011-05-29 12:26:00,468,1
12427.0,3,825.8000000000001,2010-12-03 10:44:00,2011-11-18 08:56:00,349,1
12428.0,9,7956.46,2011-03-01 09:33:00,2011-11-14 08:22:00,257,0
12429.0,8,6204.41,2010-06-11 13:28:00,2011-11-30 17:22:00,537,1
12430.0,1,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,0,0
12431.0,27,10432.220000000001,2010-01-15 09:04:00,2011-11-04 11:55:00,658,1
12432.0,5,5059.32,2011-06-20 13:27:00,2011-10-28 11:43:00,129,0
12433.0,10,16794.14,2010-08-20 09:23:00,2011-12-09 10:02:00,476,1
12434.0,3,1103.43,2010-11-23 13:38:00,2011-09-16 12:38:00,296,0
12435.0,6,13925.93,2009-12-02 13:58:00,2011-09-21 09:06:00,657,1
12436.0,1,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,0,0
12437.0,39,12683.4,2009-12-02 16:24:00,2011-12-08 11:35:00,735,1
12438.0,2,2906.85,2011-07-22 13:29:00,2011-11-25 13:28:00,125,0
12439.0,2,1142.88,2009-12-14 08:40:00,2010-01-26 12:11:00,43,0
12440.0,2,859.2,2009-12-22 12:03:00,2010-09-03 13:11:00,255,0
12441.0,1,173.55,2010-12-08 10:45:00,2010-12-08 10:45:00,0,0
12442.0,1,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,0,0
12443.0,1,485.31,2009-12-07 15:42:00,2009-12-07 15:42:00,0,0
12444.0,5,5005.46,2011-06-21 14:00:00,2011-11-18 13:23:00,149,0
12445.0,2,434.98,2010-10-15 12:28:00,2011-11-17 18:43:00,398,1
12446.0,1,1002.3100000000001,2011-10-13 12:50:00,2011-10-13 12:50:00,0,0
12447.0,1,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,0,0
12448.0,1,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,0,0
12449.0,6,4835.89,2010-09-27 09:37:00,2011-11-17 13:46:00,416,1
12450.0,5,688.2,2010-08-22 13:11:00,2011-07-06 14:41:00,318,0
12451.0,8,12669.88,2010-06-28 12:58:00,2011-11-29 08:40:00,518,1
12452.0,2,430.57000000000005,2011-11-23 08:05:00,2011-11-23 10:28:00,0,0
12453.0,1,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,0,0
12454.0,5,16679.78,2010-10-14 17:33:00,2011-10-14 17:13:00,364,1
12455.0,10,5879.95,2009-12-18 12:33:00,2011-09-27 15:31:00,648,1
12456.0,3,3181.04,2011-03-30 09:12:00,2011-10-26 14:41:00,210,0
12457.0,8,2995.91,2010-09-30 17:59:00,2011-10-04 13:13:00,368,1
12458.0,4,1777.49,2010-08-09 10:33:00,2011-09-29 15:25:00,416,1
12459.0,1,454.36,2010-04-13 14:53:00,2010-04-13 14:53:00,0,0
12460.0,1,326.65,2010-09-09 13:51:00,2010-09-09 13:51:00,0,0
12461.0,2,826.88,2011-07-08 10:23:00,2011-09-06 16:57:00,60,0
12462.0,2,1189.59,2011-02-09 14:44:00,2011-11-21 09:11:00,284,0
12463.0,4,1344.78,2011-04-12 12:47:00,2011-10-17 13:44:00,188,0
